date,open_price,high_price,low_price,close_price
,GC=F,GC=F,GC=F,GC=F
2004-10-01,419.1000061035156,430.0,410.29998779296875,428.5
2004-11-01,427.29998779296875,454.79998779296875,424.6000061035156,451.29998779296875
2004-12-01,451.6000061035156,456.5,432.6000061035156,437.5
2005-01-01,431.0,431.0,418.70001220703125,421.79998779296875
2005-02-01,422.20001220703125,436.0,410.1000061035156,436.5
2005-03-01,435.0,446.3999938964844,424.70001220703125,428.70001220703125
2005-04-01,428.29998779296875,438.20001220703125,422.70001220703125,435.0
2005-06-01,416.3999938964844,442.5,414.0,435.8999938964844
2005-07-01,427.79998779296875,430.5,419.6000061035156,429.8999938964844
2005-08-01,430.0,449.5,429.1000061035156,433.79998779296875
2005-09-01,438.5,474.0,438.5,469.0
2005-10-01,467.79998779296875,478.5,460.5,465.1000061035156
2005-11-01,463.0,502.29998779296875,455.29998779296875,494.6000061035156
2005-12-01,494.20001220703125,538.5,490.1000061035156,517.0999755859375
2006-02-01,570.7999877929688,575.2999877929688,535.5,561.5999755859375
2006-03-01,562.5,589.5999755859375,539.9000244140625,581.7999877929688
2006-04-01,582.0,651.7999877929688,582.0,651.7999877929688
2006-05-01,658.0,723.0,637.0,642.5
2006-06-01,642.7999877929688,645.0999755859375,555.0,613.5
2006-07-01,631.0,677.0,612.7000122070312,634.2000122070312
2006-08-01,635.4000244140625,656.0,609.0,625.9000244140625
2006-09-01,624.4000244140625,638.5,576.4000244140625,598.5999755859375
2006-11-01,612.5,648.0,612.5,646.9000244140625
2006-12-01,645.7000122070312,649.7000122070312,612.0,635.2000122070312
2007-01-01,635.2000122070312,655.5,607.0,652.0
2007-02-01,652.9000244140625,687.7000122070312,642.0,669.4000244140625
2007-03-01,673.0,673.0,640.0,663.0
2007-05-01,673.7000122070312,688.0,651.0,661.0
2007-06-01,661.5,674.0,640.0,648.0999755859375
2007-08-01,663.2000122070312,676.2000122070312,642.9000244140625,673.0
2007-09-01,672.5,745.7000122070312,672.5,742.7999877929688
2007-10-01,745.0999755859375,795.4000244140625,724.2999877929688,792.0
2007-11-01,785.2999877929688,841.2999877929688,777.5999755859375,782.2000122070312
2007-12-01,783.9000244140625,843.2000122070312,777.0,834.9000244140625
2008-01-01,848.7000122070312,936.2999877929688,846.4000244140625,922.7000122070312
2008-02-01,924.7999877929688,973.0999755859375,884.7000122070312,972.0999755859375
2008-03-01,984.2000122070312,1014.5999755859375,912.0,916.2000122070312
2008-04-01,915.0,948.7000122070312,863.0,862.7999877929688
2008-05-01,855.0,925.5999755859375,849.5999755859375,887.2999877929688
2008-07-01,943.5999755859375,986.2000122070312,893.2999877929688,913.9000244140625
2008-08-01,904.9000244140625,916.0999755859375,780.9000244140625,829.2999877929688
2008-09-01,829.9000244140625,919.0,739.0,874.2000122070312
2008-10-01,878.0,925.7000122070312,681.0,716.7999877929688
2008-11-01,728.7999877929688,824.0,707.0,816.2000122070312
2008-12-01,817.2000122070312,883.5999755859375,740.0,883.5999755859375
2009-01-01,881.5,930.2999877929688,805.5999755859375,927.2999877929688
2009-04-01,918.5999755859375,932.5,865.0,890.7000122070312
2009-05-01,884.0,980.4000244140625,881.5,978.7999877929688
2009-06-01,978.7999877929688,990.2999877929688,917.2999877929688,927.0999755859375
2009-07-01,929.2999877929688,958.0999755859375,905.5999755859375,953.7000122070312
2009-08-01,952.5999755859375,971.0999755859375,931.5,951.7000122070312
2009-09-01,954.2000122070312,1019.7999877929688,948.7000122070312,1008.0
2009-10-01,1007.4000244140625,1070.199951171875,986.7999877929688,1039.699951171875
2009-12-01,1181.0,1226.4000244140625,1075.0,1095.199951171875
2010-01-01,1117.699951171875,1161.199951171875,1073.199951171875,1083.0
2010-02-01,1081.0,1127.4000244140625,1045.199951171875,1118.300048828125
2010-03-01,1119.300048828125,1145.0,1085.5,1113.300048828125
2010-04-01,1125.0999755859375,1181.300048828125,1111.300048828125,1180.0999755859375
2010-05-01,1178.5999755859375,1246.5,1159.199951171875,1212.199951171875
2010-06-01,1224.800048828125,1264.800048828125,1196.9000244140625,1245.5
2010-07-01,1206.300048828125,1242.4000244140625,1158.0,1181.699951171875
2010-09-01,1246.300048828125,1315.199951171875,1240.0,1307.800048828125
2010-10-01,1309.0,1383.9000244140625,1309.0,1357.0999755859375
2010-11-01,1360.300048828125,1423.199951171875,1327.5,1385.0
2010-12-01,1386.800048828125,1431.0999755859375,1362.5,1421.0999755859375
2011-01-01,1415.5999755859375,1423.9000244140625,1307.699951171875,1333.800048828125
2011-02-01,1333.0999755859375,1415.699951171875,1324.9000244140625,1409.300048828125
2011-03-01,1415.300048828125,1446.9000244140625,1385.5,1438.9000244140625
2011-04-01,1433.4000244140625,1568.699951171875,1413.0,1556.0
2011-06-01,1535.699951171875,1558.5,1490.699951171875,1502.300048828125
2011-07-01,1502.199951171875,1634.9000244140625,1480.0,1628.300048828125
2011-08-01,1623.0,1909.300048828125,1607.0,1828.5
2011-09-01,1825.800048828125,1911.5999755859375,1562.4000244140625,1620.4000244140625
2011-10-01,1627.800048828125,1752.0,1596.5999755859375,1724.199951171875
2011-11-01,1706.699951171875,1798.4000244140625,1674.4000244140625,1745.5
2011-12-01,1747.0,1762.9000244140625,1525.0,1565.800048828125
2012-02-01,1738.199951171875,1790.4000244140625,1669.0,1709.9000244140625
2012-03-01,1698.5999755859375,1724.5999755859375,1633.800048828125,1669.300048828125
2012-05-01,1665.0,1670.5,1528.5,1562.5999755859375
2012-06-01,1560.0,1639.699951171875,1545.5,1603.5
2012-08-01,1613.4000244140625,1690.0,1583.0999755859375,1684.5999755859375
2012-09-01,1689.0999755859375,1785.300048828125,1687.699951171875,1771.0999755859375
2012-10-01,1766.0,1794.800048828125,1698.5999755859375,1717.5
2012-11-01,1722.300048828125,1751.300048828125,1674.0999755859375,1710.9000244140625
2012-12-01,1714.9000244140625,1722.300048828125,1635.800048828125,1674.800048828125
2013-01-01,1672.800048828125,1694.699951171875,1625.699951171875,1660.5999755859375
2013-02-01,1663.9000244140625,1683.4000244140625,1555.199951171875,1577.699951171875
2013-03-01,1579.5999755859375,1613.800048828125,1561.800048828125,1594.800048828125
2013-04-01,1596.800048828125,1602.5999755859375,1323.0,1472.199951171875
2013-05-01,1475.800048828125,1487.0999755859375,1342.9000244140625,1392.5999755859375
2013-06-01,1389.0999755859375,1422.699951171875,1183.199951171875,1223.800048828125
2013-07-01,1234.699951171875,1343.5,1208.9000244140625,1312.4000244140625
2013-08-01,1323.0,1428.0,1274.0,1396.0999755859375
2013-10-01,1328.0,1359.699951171875,1254.0999755859375,1323.5999755859375
2013-11-01,1325.699951171875,1325.699951171875,1229.0,1250.5999755859375
2014-01-01,1204.300048828125,1269.4000244140625,1204.300048828125,1240.0999755859375
2014-02-01,1242.4000244140625,1343.9000244140625,1241.199951171875,1321.4000244140625
2014-03-01,1335.9000244140625,1391.4000244140625,1282.4000244140625,1283.4000244140625
2014-04-01,1285.0999755859375,1330.0,1272.4000244140625,1295.5999755859375
2014-05-01,1288.699951171875,1314.199951171875,1241.800048828125,1245.5999755859375
