Date,Price,,,,,
Aug-07,"8,935",,,,,
Jul-07,"8,708",,,,,
Jun-07,"8,662",,,,,
May-07,"8,694",,,,,
Apr-07,"9,203",,,,,
Mar-07,"9,339",,,,,
Feb-07,"9,628",,,,,
Jan-07,"9,242",,,,,
Dec-06,"9,265",,,,,
Nov-06,"9,269",,,,,
Oct-06,"8,894",,,,,
Sep-06,"8,859",,,,,
Aug-06,"9,554",,,,,
Jul-06,"9,560",,,,,
Jun-06,"9,220",,,,,
May-06,"9,526",,,,,
Apr-06,"9,609",,,,,
Mar-06,"8,382",,,,,
Feb-06,"8,112",,,,,
Jan-06,"8,166",,,,,
Dec-05,"7,638",,,,,
Nov-05,"7,416",,,,,
Oct-05,"6,822",,,,,
Sep-05,"6,731",,,,,
Aug-05,"6,263",,,,,
Jul-05,"6,084",,,,,
Jun-05,"6,214",,,,,
May-05,"5,966",,,,,
Apr-05,"6,229",,,,,
Mar-05,"6,103",,,,,
Feb-05,"6,245",,,,,
Jan-05,"6,000",,,,,
Dec-04,"6,307",,,,,
Nov-04,"6,528",,,,,
Oct-04,"6,329",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
